Ageofplant,soilmoisture,soilhumus,temprature,humidity,waterrequired
1,60,4,25,70,500
5,50,3,28,65,600
10,40,2,30,60,700
15,30,1,32,55,800
20,20,0,35,50,900
25,10,0,38,45,1000
30,5,0,40,40,1100
35,8,1,37,42,1050
40,12,2,35,45,1000
45,15,3,32,48,950
50,20,4,30,50,900
55,25,5,28,52,850
60,30,6,26,55,800
65,35,7,24,58,750
70,40,8,22,60,700
80,45,78,45,98,600
45,98,47,45,98,600
45,78,64,42,75,600
1387,223,64,190,17,5221
652,28,121,497,169,8334
2191,168,45,338,133,1796
4823,377,325,89,431,8847
2760,271,20,292,250,3212
86,63,75,246,147,4997
1381,13,368,103,375,3797
2983,90,246,269,394,7622
383,400,315,219,201,3694
910,20,412,367,253,8764
3635,410,23,330,317,3480
652,454,94,372,37,7411
1917,67,382,193,320,3594
4866,203,484,416,312,765
3235,39,191,360,464,7211
4201,139,446,137,22,2031
2953,446,309,252,186,7355
1541,133,500,483,439,9239
1902,55,401,251,150,9278
102,237,95,440,48,843
1055,411,398,314,170,628
918,251,66,174,267,4699
3688,17,465,144,214,6784
683,150,159,496,110,274
434,25,341,416,152,2342
1843,67,184,194,252,1308
4534,366,253,55,177,9117
3132,111,487,12,347,5603
3398,366,5,287,352,5926
950,249,147,230,170,3744
4631,5,64,45,26,8194
83,264,438,277,77,7408
151,264,400,416,238,530
4754,435,325,28,165,7466
2851,322,436,28,186,5615
4901,448,407,449,420,3758
3435,353,110,246,120,3082
2963,483,428,24,419,1643
2829,85,332,465,233,5065
4241,160,152,104,233,3733
2201,494,298,391,98,9444
2778,97,277,353,103,3815
921,276,365,11,461,7286
4940,94,153,380,271,6708
4161,228,135,304,420,1678
1347,242,151,7,331,458
1171,225,357,243,488,9567
1284,312,185,18,197,5586
2427,297,30,116,190,1379
2633,376,97,497,323,4095
1745,297,414,259,360,3373
1494,98,59,158,431,8254
3933,130,495,185,378,7692
1658,189,36,378,337,6609
2451,305,125,179,232,9804
798,76,278,237,153,2585
4735,300,336,200,361,3348
2928,197,237,171,100,1476
4714,127,118,318,398,8185
4416,260,402,295,174,2571
788,142,166,192,83,7032
1156,108,343,194,432,199
72,368,473,39,62,7291
931,442,160,318,208,4208
1137,43,342,413,447,6770
4742,486,171,129,496,5077
1873,218,133,58,283,4789
2553,73,316,75,70,66
75,53,220,388,150,6529
4219,356,275,483,49,6129
4622,68,137,206,157,9194
296,247,430,267,271,9403
289,23,261,495,53,1891
4797,219,220,65,263,8821
1859,159,365,135,33,7986
2720,161,26,109,68,8594
3600,436,132,96,314,2467
3875,118,483,239,52,7134
1252,461,86,249,459,7049
763,261,289,46,13,9582
2627,478,64,93,117,4246
3644,50,490,218,152,5176
2585,75,362,212,481,1379
2699,257,301,364,172,5119
1290,478,374,78,500,2979
51,159,354,494,284,8715
3180,475,407,59,359,6791
3143,263,149,191,318,8717
412,118,269,413,449,9151
4938,185,142,307,210,1319
1337,33,76,183,67,340
4051,251,201,480,392,6359
927,365,285,495,215,7759
599,102,262,145,462,3000
4466,83,401,161,243,9963
4360,279,133,38,285,1235
1624,424,254,244,105,7598
1828,253,249,380,128,8963
3856,158,33,17,218,709
739,264,327,270,397,1032
4770,255,406,367,427,7499
4502,192,326,232,230,9893
3379,142,110,263,120,7958
95,275,157,221,19,9057
4477,35,22,387,80,2433
332,322,67,204,392,9744
2872,472,330,70,478,8329
1059,87,358,19,282,8069
2682,293,251,285,453,1007
627,460,443,273,78,3818
4916,429,397,283,322,8799
1909,155,433,446,430,8637
362,264,487,193,299,1521
1648,275,456,193,470,6080
241,33,81,201,459,8844
1698,147,335,125,27,9030
4847,261,13,51,32,9032
2324,451,168,189,445,8868
4688,146,31,468,50,6186
3375,490,162,375,490,7519
1612,388,165,1,103,6803
3798,149,237,22,169,5001
831,452,404,414,221,7334
3619,126,191,469,459,3810
2192,322,67,25,422,9303
4948,458,111,340,495,9182
4365,232,120,126,206,1476
4435,293,123,132,206,8664
928,352,59,356,392,4002
747,277,187,242,73,5548
2945,154,338,413,191,9784
2867,55,428,300,473,6028
